member_casual,rideable_type,ride_year,ride_month,day_of_week,hour_of_day,number_of_rides,avg_ride_duration,avg_ride_distance
casual,classic_bike,2022,Aug,Thursday,22,576,18.50665509259259,2166.847886730063
casual,classic_bike,2022,Aug,Thursday,23,337,20.676162215628093,2027.342222675932
casual,classic_bike,2022,Aug,Tuesday,0,131,19.32493638676845,2019.1216219592723
casual,classic_bike,2022,Aug,Tuesday,1,55,31.162424242424244,1967.1148028192952
casual,classic_bike,2022,Aug,Tuesday,2,31,13.733333333333333,1964.312314548542
casual,classic_bike,2022,Aug,Tuesday,3,24,11.300694444444444,2082.140019379564
casual,classic_bike,2022,Aug,Tuesday,4,37,11.714414414414414,2248.6652026836286
casual,classic_bike,2022,Aug,Tuesday,5,81,14.392592592592592,1842.0997253809323
casual,classic_bike,2022,Aug,Tuesday,6,264,16.804166666666667,1946.7989358528919
casual,classic_bike,2022,Aug,Tuesday,7,479,11.863256784968685,1838.0976487628463
casual,classic_bike,2022,Aug,Tuesday,8,602,15.910520487264673,1872.5137832158202
casual,classic_bike,2022,Aug,Tuesday,9,447,20.74179716629381,2214.976585069153
casual,classic_bike,2022,Aug,Tuesday,10,518,26.581306306306306,2439.170766531938
casual,classic_bike,2022,Aug,Tuesday,11,645,31.343953488372094,2674.151936280459
casual,classic_bike,2022,Aug,Tuesday,12,791,27.245174884112938,2533.138366496309
casual,classic_bike,2022,Aug,Tuesday,13,773,28.466213885295385,2534.7465074811334
casual,classic_bike,2022,Aug,Tuesday,14,775,27.11,2364.3196952612966
casual,classic_bike,2022,Aug,Tuesday,15,954,22.90356394129979,2284.871957780067
casual,classic_bike,2022,Aug,Tuesday,16,1214,23.33132894014278,2525.8061620403837
casual,classic_bike,2022,Aug,Tuesday,17,1887,20.88607136548313,2412.2717959238976
casual,classic_bike,2022,Aug,Tuesday,18,2028,20.45457758053912,2335.6438266309983
casual,classic_bike,2022,Aug,Tuesday,19,1546,21.096927554980596,2296.351059844865
casual,classic_bike,2022,Aug,Tuesday,20,1020,19.73264705882353,2169.2056525259713
casual,classic_bike,2022,Aug,Tuesday,21,841,20.97929052715022,2260.0199205972813
casual,classic_bike,2022,Aug,Tuesday,22,634,18.580099894847528,2237.9440100840047
casual,classic_bike,2022,Aug,Tuesday,23,271,18.76537515375154,2041.7603849017974
casual,classic_bike,2022,Aug,Wednesday,0,148,20.16328828828829,2203.548688372426
casual,classic_bike,2022,Aug,Wednesday,1,55,17.924545454545456,1869.0649902617474
casual,classic_bike,2022,Aug,Wednesday,2,26,18.73846153846154,1722.4018323472685
casual,classic_bike,2022,Aug,Wednesday,3,16,14.665625,1743.028144422172
casual,classic_bike,2022,Aug,Wednesday,4,23,8.732608695652173,1590.9424506616651
casual,classic_bike,2022,Aug,Wednesday,5,88,11.630113636363637,2021.795104007801
casual,classic_bike,2022,Aug,Wednesday,6,259,13.01988416988417,1863.2475476867555
casual,classic_bike,2022,Aug,Wednesday,7,512,13.74931640625,1975.6132090982119
casual,classic_bike,2022,Aug,Wednesday,8,633,14.288941548183255,1843.694032443164
casual,classic_bike,2022,Aug,Wednesday,9,459,19.236637618010167,2174.16780858086
casual,classic_bike,2022,Aug,Wednesday,10,519,28.402922286448298,2681.0656697569502
casual,classic_bike,2022,Aug,Wednesday,11,692,30.253998073217726,2538.2739579905638
casual,classic_bike,2022,Aug,Wednesday,12,760,23.43394736842105,2144.5033740417603
casual,classic_bike,2022,Aug,Wednesday,13,731,24.042316461468307,2288.813069954462
casual,classic_bike,2022,Aug,Wednesday,14,688,26.978173449612402,2385.4362511776108
casual,classic_bike,2022,Aug,Wednesday,15,841,24.82483154974237,2491.9692709891974
casual,classic_bike,2022,Aug,Wednesday,16,1209,22.396277915632755,2314.655687274891
casual,classic_bike,2022,Aug,Wednesday,17,1893,20.253917943299875,2485.185527197878
casual,classic_bike,2022,Aug,Wednesday,18,1928,20.31160961272476,2375.987850219453
casual,classic_bike,2022,Aug,Wednesday,19,1550,19.807978494623654,2334.2734751278363
casual,classic_bike,2022,Aug,Wednesday,20,1142,18.978575598365442,2244.387186180716
casual,classic_bike,2022,Aug,Wednesday,21,984,18.002693089430895,2201.3809202150587
casual,classic_bike,2022,Aug,Wednesday,22,667,18.41286856571714,2097.259164708987
casual,classic_bike,2022,Aug,Wednesday,23,308,22.23690476190476,1920.7808263353259
casual,classic_bike,2022,Sep,Friday,0,234,24.241524216524216,1853.4575830464898
casual,classic_bike,2022,Sep,Friday,1,137,24.83880778588808,1613.9631639570653
casual,classic_bike,2022,Sep,Friday,2,64,13.211458333333333,1795.5420349562041
casual,classic_bike,2022,Sep,Friday,3,32,10.68125,1577.8333703337194
casual,classic_bike,2022,Sep,Friday,4,18,34.30925925925926,1585.7697814058704
casual,classic_bike,2022,Sep,Friday,5,67,31.754228855721394,1811.5672859590447
casual,classic_bike,2022,Sep,Friday,6,325,21.72625641025641,2427.424585053849
casual,classic_bike,2022,Sep,Friday,7,405,15.254362139917696,2091.0728324488855
casual,classic_bike,2022,Sep,Friday,8,507,17.08974358974359,2088.032513459831
casual,classic_bike,2022,Sep,Friday,9,455,26.76172161172161,2422.2386561026506
casual,classic_bike,2022,Sep,Friday,10,585,29.133475783475784,2486.6080985356575
casual,classic_bike,2022,Sep,Friday,11,793,26.60563261874737,2539.88412664545
casual,classic_bike,2022,Sep,Friday,12,1030,25.152233009708738,2355.054750743577
casual,classic_bike,2022,Sep,Friday,13,1012,21.751399868247695,2319.3314735288554
casual,classic_bike,2022,Sep,Friday,14,1094,24.102422303473492,2368.6704035123016
casual,classic_bike,2022,Sep,Friday,15,1332,21.682882882882883,2288.0381616512304
casual,classic_bike,2022,Sep,Friday,16,1419,21.600469814423302,2329.628507992267
casual,classic_bike,2022,Sep,Friday,17,1679,21.57837006154457,2251.50133566934
casual,classic_bike,2022,Sep,Friday,18,1788,20.698601789709173,2222.0123374509285
casual,classic_bike,2022,Sep,Friday,19,1251,20.068718358646418,2187.0586919807024
casual,classic_bike,2022,Sep,Friday,20,783,18.516602809706256,2063.658901984074
casual,classic_bike,2022,Sep,Friday,21,765,19.871503267973857,2169.935181052331
casual,classic_bike,2022,Sep,Friday,22,807,21.352189178025608,2138.6180530164816
casual,classic_bike,2022,Sep,Friday,23,847,18.333785911058637,2186.1398221461454
casual,classic_bike,2022,Sep,Monday,0,101,14.494389438943895,1507.2101038867042
casual,classic_bike,2022,Sep,Monday,1,63,15.86137566137566,1968.895789780211
casual,classic_bike,2022,Sep,Monday,2,38,34.939912280701755,2105.5709349611793
casual,classic_bike,2022,Sep,Monday,3,41,17.01138211382114,2370.8647222516756
casual,classic_bike,2022,Sep,Monday,4,32,14.209895833333333,2261.457036814211
casual,classic_bike,2022,Sep,Monday,5,43,13.196511627906977,1753.2194751359327
casual,classic_bike,2022,Sep,Monday,6,145,9.763103448275862,1742.2411571678376
casual,classic_bike,2022,Sep,Monday,7,246,13.155420054200542,2010.5994571624321
casual,classic_bike,2022,Sep,Monday,8,309,15.813214670981662,2176.0219020798063
casual,classic_bike,2022,Sep,Monday,9,364,26.317994505494504,2247.837050052103
casual,classic_bike,2022,Sep,Monday,10,367,32.363351498637606,2280.3826196553273
casual,classic_bike,2022,Sep,Monday,11,524,29.718893129770994,2457.607792810538
casual,classic_bike,2022,Sep,Monday,12,611,29.716012002182215,2431.4205243060755
casual,classic_bike,2022,Sep,Monday,13,688,26.770784883720932,2477.189572786968
casual,classic_bike,2022,Sep,Monday,14,762,27.461089238845144,2300.620570397143
casual,classic_bike,2022,Sep,Monday,15,774,24.969573643410854,2387.168468037623
casual,classic_bike,2022,Sep,Monday,16,836,22.841905901116426,2199.4262067743684
casual,classic_bike,2022,Sep,Monday,17,1015,20.750114942528736,2220.6304593666205
casual,classic_bike,2022,Sep,Monday,18,1005,17.835207296849088,2111.5437505176246
casual,classic_bike,2022,Sep,Monday,19,675,21.05901234567901,1989.0455629380258
casual,classic_bike,2022,Sep,Monday,20,438,16.681506849315067,1917.8354610150689
casual,classic_bike,2022,Sep,Monday,21,318,14.49853249475891,1862.1546662681928
casual,classic_bike,2022,Sep,Monday,22,223,24.612780269058295,1803.6759363895915
casual,classic_bike,2022,Sep,Monday,23,132,15.249873737373738,1645.530007987082
casual,classic_bike,2022,Sep,Saturday,0,697,20.162912482065998,2068.5251105316147
casual,classic_bike,2022,Sep,Saturday,1,442,26.95444947209653,2297.4649737754307
casual,classic_bike,2022,Sep,Saturday,2,240,17.99395833333333,2150.099353444802
casual,classic_bike,2022,Sep,Saturday,3,94,27.00851063829787,2116.4730555677256
casual,classic_bike,2022,Sep,Saturday,4,30,26.403333333333332,1453.5541572149373
casual,classic_bike,2022,Sep,Saturday,5,52,19.58076923076923,2423.4615470737467
